卖家ID,前一天登录次数,前一周登录次数,上传产品数量,审核通过的产品总数量,在线产品数量,前一天产品曝光次数,前一周产品曝光次数,最近7天产品曝光次数,前一天在线时长,前一周在线时长,最近7天登录次数,最近7天在线时长,前一个月登录次数,前一个月在线时长,最近30天登录次数,最近30天在线时长,前3个月登录次数,前3个月在线时长,最近90天登录次数,最近90天在线时长,前一月产品曝光次数,最近30天产品曝光次数,前3月产品曝光次数,最近90天产品曝光次数,城市,诚保类型,黄牌数量,警告数量,代理商名称,最近60天手动好评数量,最近60天中评数量,最近60天差评数量,最近60天的订单未评价率
ff8080814c30bd1c014c44cb59522454,0,0,0,0,0,0,0,0,0,0,0,0,2,0.03,2,0.03,2,0.03,2,0.03,0,0,0,0,南阳市, ,0,0, ,0,0,0,0
ff8080814c30bd6d014c44cad64223dd,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00,1,0.00,1,0.00,1,0.00,0,0,0,0, , ,0,0, ,0,0,0,0
ff8080814c30bd6b014c44c946b923ad,0,0,0,0,0,0,0,0,0,0,0,0,3,0.00,3,0.00,3,0.00,3,0.00,0,0,0,0,保山地区, ,0,0,深圳市瞬腾恒光科技有限公司,0,0,0,0
ff8080814c30bd6d014c44c847f023c8,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00,1,0.00,1,0.00,1,0.00,0,0,0,0,金华市, ,0,0,金华科络电子商务有限公司,0,0,0,0
ff8080814c30bd1c014c44c7b3732439,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00,1,0.00,1,0.00,1,0.00,0,0,0,0,深圳市, ,0,0, ,0,0,0,0
ff8080814c30bd6b014c44c5d201239c,0,0,0,0,0,0,0,0,0,0,0,0,2,0.09,2,0.09,2,0.09,2,0.09,0,0,0,0,金华市, ,0,0, ,0,0,0,0
ff8080814c30bd6b014c44c316cb2390,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00,1,0.00,1,0.00,1,0.00,0,0,0,0,许昌市, ,0,0, ,0,0,0,0
ff8080814c30bd1c014c44c233ef2449,1,0,0,0,0,0,0,0,0.09,0,1,0.09,1,0.00,2,0.09,1,0.00,2,0.09,0,0,0,0,广州市, ,0,0, ,0,0,0,0
ff8080814c30bd6d014c44bf401323a1,0,0,0,0,0,0,0,0,0,0,0,0,2,0.53,2,0.53,2,0.53,2,0.53,0,0,0,0,深圳市, ,0,0, ,0,0,0,0
ff8080814c30bd6d014c44bef40c239c,0,0,0,0,0,0,0,0,0,0,0,0,1,0.01,1,0.01,1,0.01,1,0.01,0,0,0,0,广州市, ,0,0, ,0,0,0,0
ff8080814c30bd1c014c44bd70e3240b,1,6,2,2,1,9,25,31,0.00,0.00,6,0.00,9,3.60,15,3.60,9,3.60,15,3.60,20,51,20,51,南京市, ,0,0, ,0,0,0,0
ff8080814c30bd1c014c44bbdecd242f,0,1,0,0,0,0,0,0,0,0.00,1,0.00,7,2.61,8,2.61,7,2.61,8,2.61,0,0,0,0,深圳市, ,0,0, ,0,0,0,0
ff8080814c30bd1c014c44ba57322400,0,1,0,0,0,0,0,0,0,0.01,0,0,4,0.79,4,0.79,4,0.79,4,0.79,0,0,0,0,深圳市, ,0,0, ,0,0,0,0
ff8080814c30bd1c014c44b99e2923f8,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00,1,0.00,1,0.00,1,0.00,0,0,0,0,深圳市, ,0,0, ,0,0,0,0
ff8080814c30bd1c014c44b98208241e,0,0,0,0,0,0,0,0,0,0,0,0,1,0.43,1,0.43,1,0.43,1,0.43,0,0,0,0,佛山市, ,0,0, ,0,0,0,0
ff8080814c30bd1c014c44b82eb623f0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.09,1,0.09,1,0.09,1,0.09,0,0,0,0,广州市, ,0,0, ,0,0,0,0
ff8080814c30bd1c014c44b81a222412,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00,1,0.00,1,0.00,1,0.00,0,0,0,0,桂林市, ,0,0, ,0,0,0,0
ff8080814c30bd1c014c44b710d723e7,0,0,0,0,0,0,0,0,0,0,0,0,5,2.36,5,2.36,5,2.36,5,2.36,0,0,0,0,厦门市, ,0,0,厦门企盟网络科技有限公司,0,0,0,0
ff8080814c30bd6b014c44b408002357,1,6,439,439,439,110,310,379,1.84,2.91,6,3.98,9,7.44,15,11.42,9,7.44,15,11.42,131,510,131,510,抚州市, ,0,0, ,0,0,0,0
ff8080814c30bd1c014c44b1888023d2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00,1,0.00,1,0.00,1,0.00,0,0,0,0,深圳市, ,0,0, ,0,0,0,0
ff8080814c30bd6b014c44b17a402337,0,0,0,0,0,0,0,0,0,0,0,0,3,0.00,3,0.00,3,0.00,3,0.00,0,0,0,0, , ,0,0, ,0,0,0,0
ff8080814c30bd6b014c44b09c41232e,0,1,0,0,0,0,0,0,0,0.12,1,0.12,1,0.28,2,0.40,1,0.28,2,0.40,0,0,0,0,厦门市, ,0,0, ,0,0,0,0
ff8080814c30bd6b014c44b0610e2329,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00,1,0.00,1,0.00,1,0.00,0,0,0,0,嘉兴市, ,0,0, ,0,0,0,0
ff8080814c30bd6d014c44b01ea72360,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00,1,0.00,1,0.00,1,0.00,0,0,0,0,深圳市, ,0,0, ,0,0,0,0
ff8080814c30bd6d014c44ad08db2356,0,0,0,0,0,0,0,0,0,0,0,0,2,0.36,2,0.36,2,0.36,2,0.36,0,0,0,0,南阳市, ,0,0, ,0,0,0,0
ff8080814c30bd6b014c44abfb782311,0,0,0,0,0,0,0,0,0,0,0,0,2,0.00,2,0.00,2,0.00,2,0.00,0,0,0,0,太原市, ,0,0, ,0,0,0,0
ff8080814c30bd1c014c44abee4f23a8,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00,1,0.00,1,0.00,1,0.00,0,0,0,0,深圳市, ,0,0, ,0,0,0,0
ff8080814c30bd6b014c44ab22522309,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00,1,0.00,1,0.00,1,0.00,0,0,0,0,深圳市, ,0,0, ,0,0,0,0
ff8080814c30bd6d014c44aad85f233d,1,6,27,27,27,2,60,52,0.00,0.16,6,0.00,8,1.45,14,1.45,8,1.45,14,1.45,53,105,53,105,中山市, ,0,0, ,0,0,0,0
ff8080814c30bd1c014c44aa0eab23b2,0,0,0,0,0,0,0,0,0,0,0,0,2,0.00,2,0.00,2,0.00,2,0.00,0,0,0,0,广州市, ,0,0, ,0,0,0,0
ff8080814c30bd1c014c44a94b9423ac,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00,1,0.00,1,0.00,1,0.00,0,0,0,0,上饶市, ,0,0, ,0,0,0,0
ff8080814c30bd1c014c44a8a2662395,0,0,0,0,0,0,0,0,0,0,0,0,4,4.86,4,4.86,4,4.86,4,4.86,0,0,0,0,济南市, ,0,0, ,0,0,0,0
ff8080814c30bd6b014c44a8514722f5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.18,1,0.18,1,0.18,1,0.18,0,0,0,0,绍兴市, ,0,0, ,0,0,0,0
ff8080814c30bd6b014c44a6e14522ec,1,6,7,6,6,45,155,167,0.00,0.00,6,0.00,9,4.46,15,4.46,9,4.46,15,4.46,200,367,200,367,东莞市, ,0,0, ,0,0,0,0
ff8080814c30bd6d014c44a6c6b2231c,1,6,30,30,30,21,85,90,0.54,2.50,6,2.56,6,2.96,12,5.52,6,2.96,12,5.52,16,106,16,106,中山市, ,0,0, ,0,0,0,0
ff8080814c30bd6b014c44a5cb9722e2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00,1,0.00,1,0.00,1,0.00,0,0,0,0,广州市, ,0,0, ,0,0,0,0
ff8080814c30bd6d014c44a32a70230b,1,4,3,3,3,6,5,11,0.00,3.69,4,3.69,7,2.20,11,5.89,7,2.20,11,5.89,0,11,0,11,深圳市, ,0,0, ,0,0,0,0
ff8080814c30bd1c014c44a286fc2387,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00,1,0.00,1,0.00,1,0.00,0,0,0,0,太原市, ,0,0, ,0,0,0,0
ff8080814c30bd1c014c44a220e52381,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00,1,0.00,1,0.00,1,0.00,0,0,0,0,金华市, ,0,0, ,0,0,0,0
ff8080814c30bd1c014c44a0eef72368,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00,1,0.00,1,0.00,1,0.00,0,0,0,0,苏州市, ,0,0, ,0,0,0,0
ff8080814c30bd1c014c44a017bd2363,0,0,0,0,0,0,0,0,0,0,0,0,1,0.09,1,0.09,1,0.09,1,0.09,0,0,0,0,中山市, ,0,0, ,0,0,0,0
ff8080814c30bd1c014c449f6f78235f,1,3,2,2,2,8,11,19,0.35,3.25,4,3.60,2,0.04,6,3.64,2,0.04,6,3.64,0,19,0,19,深圳市, ,0,0, ,0,0,0,0
